id,year,y1_statefips,y1_countyfips,y2_statefips,y2_countyfips,n1,n2,agi,pop
96000,1415,96,000,06,075,27490,35219,3142878,0
97000,1415,97,000,06,075,27038,34511,3058177,0
97001,1415,97,001,06,075,16163,21517,1794334,0
97003,1415,97,003,06,075,10875,12994,1263843,0
98000,1415,98,000,06,075,452,708,84701,0
06075,1415,06,075,06,075,370516,630193,53992882,862004
06081,1415,06,081,06,075,3220,4922,324346,763191
06001,1415,06,001,06,075,2572,3436,226510,1632747
06085,1415,06,085,06,075,2406,2910,342393,1910105
06037,1415,06,037,06,075,1559,1848,151333,10112255
06013,1415,06,013,06,075,1401,2088,192148,1123231
36061,1415,36,061,06,075,975,1133,202817,1641168
06041,1415,06,041,06,075,758,1068,120208,261054
06073,1415,06,073,06,075,619,717,44919,3290245
17031,1415,17,031,06,075,600,700,68245,5224823
06059,1415,06,059,06,075,548,629,75851,3156573
06067,1415,06,067,06,075,464,611,27058,1496644
53033,1415,53,033,06,075,453,563,64450,2114256
57001,1415,57,001,06,075,425,667,83375,0
36047,1415,36,047,06,075,418,520,47323,2624941
06097,1415,06,097,06,075,409,498,30449,501474
11001,1415,11,001,06,075,339,407,47673,670377
25017,1415,25,017,06,075,321,384,31488,1581037
25025,1415,25,025,06,075,289,336,34685,776688
06095,1415,06,095,06,075,256,370,10583,434321
48453,1415,48,453,06,075,219,283,19215,1174818
04013,1415,04,013,06,075,208,251,18708,4161637
06087,1415,06,087,06,075,188,216,15273,273627
06083,1415,06,083,06,075,160,180,10916,443815
48201,1415,48,201,06,075,159,196,18069,4533341
06077,1415,06,077,06,075,151,198,8070,723496
41051,1415,41,051,06,075,142,177,11460,789125
06065,1415,06,065,06,075,141,163,5519,2352892
27053,1415,27,053,06,075,130,151,14502,1220459
32003,1415,32,003,06,075,129,174,7226,2109289
15003,1415,15,003,06,075,127,154,6213,993166
36081,1415,36,081,06,075,126,148,12257,2327228
42101,1415,42,101,06,075,118,144,10404,1564964
48113,1415,48,113,06,075,115,138,17211,2545775
06111,1415,06,111,06,075,113,140,17570,847719
06055,1415,06,055,06,075,111,146,13564,141854
06061,1415,06,061,06,075,108,132,6399,374383
12086,1415,12,086,06,075,107,136,6269,2692593
51059,1415,51,059,06,075,103,114,7560,1137472
13121,1415,13,121,06,075,100,118,9256,1007803
09001,1415,09,001,06,075,99,113,9630,944674
06053,1415,06,053,06,075,98,127,9985,432007
08031,1415,08,031,06,075,98,118,11185,680032
06113,1415,06,113,06,075,97,120,5046,212202
06071,1415,06,071,06,075,95,115,4618,2122545
06019,1415,06,019,06,075,92,117,4607,972130
24031,1415,24,031,06,075,92,106,7091,1036233
25021,1415,25,021,06,075,88,96,6084,694895
51013,1415,51,013,06,075,86,91,6737,227897
06099,1415,06,099,06,075,82,113,5153,535385
06079,1415,06,079,06,075,79,92,6026,280960
36119,1415,36,119,06,075,75,92,9018,972900
36059,1415,36,059,06,075,68,80,7790,1359702
42003,1415,42,003,06,075,68,78,5793,1229298
32031,1415,32,031,06,075,67,88,7866,445460
06017,1415,06,017,06,075,65,79,4163,184359
12011,1415,12,011,06,075,64,69,3789,1887281
26125,1415,26,125,06,075,64,71,6482,1240301
49035,1415,49,035,06,075,59,81,4114,1104622
34017,1415,34,017,06,075,57,76,7182,673765
39035,1415,39,035,06,075,56,64,3483,1255025
04019,1415,04,019,06,075,55,62,2349,1008205
26161,1415,26,161,06,075,53,58,3447,360847
39049,1415,39,049,06,075,52,59,4449,1250269
08013,1415,08,013,06,075,50,60,5699,318738
09009,1415,09,009,06,075,48,54,3738,859073
13089,1415,13,089,06,075,48,67,4431,732758
37183,1415,37,183,06,075,48,53,2696,1021974
17043,1415,17,043,06,075,47,59,5534,931819
34003,1415,34,003,06,075,46,54,6158,936010
